job_id,title,required_experience_years,offered_salary
101,"Junior Software Developer",2,50000.00
102,"Software Developer",3,60000.00
103,"Healthcare Assistant",1,35000.00
104,"Financial Analyst",3,45000.00
106,"Entry-Level Data Analyst",1,48000.00
108,"Full Stack Developer",4,70000.00
109,"Medical Receptionist",1,32000.00
110,"Lab Technician",2,40000.00
111,"Junior Accountant",1,42000.00
113,"Solar Technician",2,45000.00
115,"Content Developer",1,38000.00
116,"Instructional Designer",2,50000.00
117,"Marketing Coordinator",1,42000.00
118,"Social Media Manager",3,46000.00
